source,target,title,conference,year1,year2
926,796,Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input,Vis,2012,2012
765,796,Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input,Vis,2012,2012
723,13,ElVis: A System for the Accurate and Interactive Visualization of High-Order finite Element Solutions,Vis,2012,2012
723,1167,ElVis: A System for the Accurate and Interactive Visualization of High-Order finite Element Solutions,Vis,2012,2012
13,1167,ElVis: A System for the Accurate and Interactive Visualization of High-Order finite Element Solutions,Vis,2012,2012
474,710,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
474,422,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
474,1291,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
474,1088,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
710,422,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
710,1291,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
710,1088,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
422,1291,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
422,1088,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
1291,1088,Evaluation of Fast-Forward Video Visualization,Vis,2012,2012
300,184,Evaluation of Multivariate Visualization on a Multivariate Task,Vis,2012,2012
1082,328,Fuzzy Volume Rendering,Vis,2012,2012
440,1177,Generalized Topological Simplification of Scalar fields on Surfaces,Vis,2012,2012
1045,634,Hierarchical Exploration of Volumes Using Multilevel Segmentation of the Intensity-Gradient Histograms,Vis,2012,2012
1045,220,Hierarchical Exploration of Volumes Using Multilevel Segmentation of the Intensity-Gradient Histograms,Vis,2012,2012
634,220,Hierarchical Exploration of Volumes Using Multilevel Segmentation of the Intensity-Gradient Histograms,Vis,2012,2012
166,599,Historygrams: Enabling Interactive Global Illumination in Direct Volume Rendering using Photon Mapping,Vis,2012,2012
166,259,Historygrams: Enabling Interactive Global Illumination in Direct Volume Rendering using Photon Mapping,Vis,2012,2012
599,259,Historygrams: Enabling Interactive Global Illumination in Direct Volume Rendering using Photon Mapping,Vis,2012,2012
1111,640,Human Computation in Visualization: Using Purpose Driven Games for Robust Evaluation of Visualization Algorithms,Vis,2012,2012
1111,162,Human Computation in Visualization: Using Purpose Driven Games for Robust Evaluation of Visualization Algorithms,Vis,2012,2012
640,162,Human Computation in Visualization: Using Purpose Driven Games for Robust Evaluation of Visualization Algorithms,Vis,2012,2012
343,947,Interactive Retro-Deformation of Terrain for Reconstructing 3D Fault Displacements,Vis,2012,2012
343,490,Interactive Retro-Deformation of Terrain for Reconstructing 3D Fault Displacements,Vis,2012,2012
947,490,Interactive Retro-Deformation of Terrain for Reconstructing 3D Fault Displacements,Vis,2012,2012
903,445,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
903,566,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
903,271,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
445,566,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
445,271,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
566,271,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
190,885,KnotPad: Visualizing and Exploring Knot Theory with Fluid Reidemeister Moves,Vis,2012,2012
190,397,KnotPad: Visualizing and Exploring Knot Theory with Fluid Reidemeister Moves,Vis,2012,2012
885,397,KnotPad: Visualizing and Exploring Knot Theory with Fluid Reidemeister Moves,Vis,2012,2012
714,407,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
714,770,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
714,1170,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
714,561,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
407,770,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
407,1170,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
407,561,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
770,1170,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
770,561,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
1170,561,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
890,1019,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
890,1028,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
890,903,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
1019,1028,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
1019,903,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
1028,903,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
255,770,Sketching Uncertainty into Simulations,Vis,2012,2012
255,910,Sketching Uncertainty into Simulations,Vis,2012,2012
255,231,Sketching Uncertainty into Simulations,Vis,2012,2012
770,910,Sketching Uncertainty into Simulations,Vis,2012,2012
770,231,Sketching Uncertainty into Simulations,Vis,2012,2012
910,231,Sketching Uncertainty into Simulations,Vis,2012,2012
1158,635,Structure-Aware Lighting Design for Volume Visualization,Vis,2012,2012
391,311,Surface-Based Structure Analysis and Visualization for Multifield Time-Varying Datasets,Vis,2012,2012
391,483,Surface-Based Structure Analysis and Visualization for Multifield Time-Varying Datasets,Vis,2012,2012
311,483,Surface-Based Structure Analysis and Visualization for Multifield Time-Varying Datasets,Vis,2012,2012
1137,1049,Turbulence Visualization at the Terascale on Desktop PCs,Vis,2012,2012
631,969,Visual Data Analysis as an Integral Part of Environmental Management,Vis,2012,2012
631,1070,Visual Data Analysis as an Integral Part of Environmental Management,Vis,2012,2012
969,1070,Visual Data Analysis as an Integral Part of Environmental Management,Vis,2012,2012
853,947,Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,Vis,2012,2012
853,490,Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,Vis,2012,2012
947,490,Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,Vis,2012,2012
277,218,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
277,1088,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
277,567,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
218,1088,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
218,567,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
1088,567,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
1200,410,Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,Vis,2012,2012
1200,9,Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,Vis,2012,2012
1200,429,Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,Vis,2012,2012
410,9,Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,Vis,2012,2012
410,429,Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,Vis,2012,2012
9,429,Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,Vis,2012,2012
105,732,Visualization of Flow Behavior in Earth Mantle Convection,Vis,2012,2012
105,490,Visualization of Flow Behavior in Earth Mantle Convection,Vis,2012,2012
732,490,Visualization of Flow Behavior in Earth Mantle Convection,Vis,2012,2012
848,605,Visualization of Temporal Similarity in field Data,Vis,2012,2012
848,429,Visualization of Temporal Similarity in field Data,Vis,2012,2012
605,429,Visualization of Temporal Similarity in field Data,Vis,2012,2012
679,223,Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis,Vis,2012,2012
679,524,Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis,Vis,2012,2012
223,524,Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis,Vis,2012,2012
1217,1079,WYSIWYP: What You See Is What You Pick,Vis,2012,2012
1217,339,WYSIWYP: What You See Is What You Pick,Vis,2012,2012
1079,339,WYSIWYP: What You See Is What You Pick,Vis,2012,2012
288,292,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
288,781,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
288,490,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
288,1257,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
292,781,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
292,490,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
292,1257,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
781,490,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
781,1257,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
490,1257,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
1,1177,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1,955,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1,1181,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1,947,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1177,955,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1177,1181,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1177,947,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
955,1181,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
955,947,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
1181,947,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
416,702,An Efficient Direct Volume Rendering Approach for Dichromats,Vis,2011,2011
416,635,An Efficient Direct Volume Rendering Approach for Dichromats,Vis,2011,2011
702,635,An Efficient Direct Volume Rendering Approach for Dichromats,Vis,2011,2011
593,134,An Interactive Local Flattening Operator to Support Digital Investigations on Artwork Surfaces,Vis,2011,2011
1138,731,Asymmetric Tensor field Visualization for Surfaces,Vis,2011,2011
1138,1254,Asymmetric Tensor field Visualization for Surfaces,Vis,2011,2011
731,1254,Asymmetric Tensor field Visualization for Surfaces,Vis,2011,2011
1231,1246,Authalic Parameterization of General Surfaces Using Lie Advection,Vis,2011,2011
1231,1001,Authalic Parameterization of General Surfaces Using Lie Advection,Vis,2011,2011
1231,113,Authalic Parameterization of General Surfaces Using Lie Advection,Vis,2011,2011
1246,1001,Authalic Parameterization of General Surfaces Using Lie Advection,Vis,2011,2011
1246,113,Authalic Parameterization of General Surfaces Using Lie Advection,Vis,2011,2011
1001,113,Authalic Parameterization of General Surfaces Using Lie Advection,Vis,2011,2011
989,783,Automatic Transfer Functions Based on Informational Divergence,Vis,2011,2011
989,860,Automatic Transfer Functions Based on Informational Divergence,Vis,2011,2011
783,860,Automatic Transfer Functions Based on Informational Divergence,Vis,2011,2011
645,1177,Branching and Circular Features in High Dimensional Data,Vis,2011,2011
1098,1196,Context Preserving Maps of Tubular Structures,Vis,2011,2011
1098,1001,Context Preserving Maps of Tubular Structures,Vis,2011,2011
1098,323,Context Preserving Maps of Tubular Structures,Vis,2011,2011
1196,1001,Context Preserving Maps of Tubular Structures,Vis,2011,2011
1196,323,Context Preserving Maps of Tubular Structures,Vis,2011,2011
1001,323,Context Preserving Maps of Tubular Structures,Vis,2011,2011
763,1063,Crepuscular Rays for Tumor Accessibility Planning,Vis,2011,2011
763,496,Crepuscular Rays for Tumor Accessibility Planning,Vis,2011,2011
1063,496,Crepuscular Rays for Tumor Accessibility Planning,Vis,2011,2011
465,216,Distance Visualization for Interactive 3D Implant Planning,Vis,2011,2011
465,1049,Distance Visualization for Interactive 3D Implant Planning,Vis,2011,2011
216,1049,Distance Visualization for Interactive 3D Implant Planning,Vis,2011,2011
300,184,Evaluation of Trend Localization with Multi-Variate Visualizations,Vis,2011,2011
1168,1177,Feature-Based Statistical Analysis of Combustion Simulation Data,Vis,2011,2011
1168,1,Feature-Based Statistical Analysis of Combustion Simulation Data,Vis,2011,2011
1177,1,Feature-Based Statistical Analysis of Combustion Simulation Data,Vis,2011,2011
1206,261,Features in Continuous Parallel Coordinates,Vis,2011,2011
723,1167,GPU-Based Interactive Cut-Surface Extraction From High-Order finite Element fields,Vis,2011,2011
723,13,GPU-Based Interactive Cut-Surface Extraction From High-Order finite Element fields,Vis,2011,2011
1167,13,GPU-Based Interactive Cut-Surface Extraction From High-Order finite Element fields,Vis,2011,2011
469,211,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
469,438,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
469,974,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
469,1182,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
211,438,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
211,974,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
211,1182,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
438,974,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
438,1182,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
974,1182,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,Vis,2011,2011
686,259,Image Plane Sweep Volume Illumination,Vis,2011,2011
686,599,Image Plane Sweep Volume Illumination,Vis,2011,2011
259,599,Image Plane Sweep Volume Illumination,Vis,2011,2011
963,419,Interactive Multiscale Tensor Reconstruction for Multiresolution Volume Visualization,Vis,2011,2011
963,753,Interactive Multiscale Tensor Reconstruction for Multiresolution Volume Visualization,Vis,2011,2011
963,1275,Interactive Multiscale Tensor Reconstruction for Multiresolution Volume Visualization,Vis,2011,2011
419,753,Interactive Multiscale Tensor Reconstruction for Multiresolution Volume Visualization,Vis,2011,2011
419,1275,Interactive Multiscale Tensor Reconstruction for Multiresolution Volume Visualization,Vis,2011,2011
753,1275,Interactive Multiscale Tensor Reconstruction for Multiresolution Volume Visualization,Vis,2011,2011
336,656,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
336,460,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
336,1022,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
336,231,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
336,771,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
336,322,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
656,460,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
656,1022,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
656,231,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
656,771,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
656,322,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
460,1022,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
460,231,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
460,771,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
460,322,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
1022,231,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
1022,771,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
1022,322,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
231,771,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
231,322,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
771,322,Interactive Virtual Probing of 4D MRI Blood-Flow,Vis,2011,2011
338,903,Interactive Volume Visualization of General Polyhedral Grids,Vis,2011,2011
338,1028,Interactive Volume Visualization of General Polyhedral Grids,Vis,2011,2011
338,231,Interactive Volume Visualization of General Polyhedral Grids,Vis,2011,2011
903,1028,Interactive Volume Visualization of General Polyhedral Grids,Vis,2011,2011
903,231,Interactive Volume Visualization of General Polyhedral Grids,Vis,2011,2011
1028,231,Interactive Volume Visualization of General Polyhedral Grids,Vis,2011,2011
1183,1019,Interactive; Graph-based Visual Analysis of High-dimensional; Multi-parameter Fluorescence Microscopy Data in Toponomics,Vis,2011,2011
1183,1028,Interactive; Graph-based Visual Analysis of High-dimensional; Multi-parameter Fluorescence Microscopy Data in Toponomics,Vis,2011,2011
1183,315,Interactive; Graph-based Visual Analysis of High-dimensional; Multi-parameter Fluorescence Microscopy Data in Toponomics,Vis,2011,2011
1019,1028,Interactive; Graph-based Visual Analysis of High-dimensional; Multi-parameter Fluorescence Microscopy Data in Toponomics,Vis,2011,2011
1019,315,Interactive; Graph-based Visual Analysis of High-dimensional; Multi-parameter Fluorescence Microscopy Data in Toponomics,Vis,2011,2011
1028,315,Interactive; Graph-based Visual Analysis of High-dimensional; Multi-parameter Fluorescence Microscopy Data in Toponomics,Vis,2011,2011
640,1111,iView: A Feature Clustering Framework for Suggesting Informative Views in Volume Visualization,Vis,2011,2011
640,162,iView: A Feature Clustering Framework for Suggesting Informative Views in Volume Visualization,Vis,2011,2011
1111,162,iView: A Feature Clustering Framework for Suggesting Informative Views in Volume Visualization,Vis,2011,2011
542,568,Load-Balanced Parallel Streamline Generation on Large Scale Vector fields,Vis,2011,2011
542,590,Load-Balanced Parallel Streamline Generation on Large Scale Vector fields,Vis,2011,2011
568,590,Load-Balanced Parallel Streamline Generation on Large Scale Vector fields,Vis,2011,2011
1218,98,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Vis,2011,2011
1218,1012,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Vis,2011,2011
1218,259,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Vis,2011,2011
98,1012,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Vis,2011,2011
98,259,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Vis,2011,2011
1012,259,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Vis,2011,2011
770,255,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
770,407,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
770,714,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
770,1160,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
770,231,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
255,407,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
255,714,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
255,1160,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
255,231,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
407,714,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
407,1160,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
407,231,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
714,1160,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
714,231,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
1160,231,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,Vis,2011,2011
813,16,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
813,1157,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
813,1048,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
813,231,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
16,1157,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
16,1048,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
16,231,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
1157,1048,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
1157,231,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
1048,231,Projection-Based Metal-Artifact Reduction for Industrial 3D X-ray Computed Tomography,Vis,2011,2011
977,761,Quasi Interpolation With Voronoi Splines,Vis,2011,2011
1045,634,Saliency-Assisted Navigation of Very Large Landscape Images,Vis,2011,2011
321,1057,Symmetry in Scalar field Topology,Vis,2011,2011
1044,961,The FLOWLENS: A Focus-and-Context Visualization Approach for Exploration of Blood Flow in Cerebral Aneurysms,Vis,2011,2011
1044,315,The FLOWLENS: A Focus-and-Context Visualization Approach for Exploration of Blood Flow in Cerebral Aneurysms,Vis,2011,2011
961,315,The FLOWLENS: A Focus-and-Context Visualization Approach for Exploration of Blood Flow in Cerebral Aneurysms,Vis,2011,2011
41,1112,Topological Spines: A Structure-preserving Visual Representation of Scalar fields,Vis,2011,2011
41,1,Topological Spines: A Structure-preserving Visual Representation of Scalar fields,Vis,2011,2011
1112,1,Topological Spines: A Structure-preserving Visual Representation of Scalar fields,Vis,2011,2011
41,1112,Towards Robust Topology of Sparsely Sampled Data,Vis,2011,2011
296,1165,Tuner: Principled Parameter finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,Vis,2011,2011
296,339,Tuner: Principled Parameter finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,Vis,2011,2011
296,1052,Tuner: Principled Parameter finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,Vis,2011,2011
1165,339,Tuner: Principled Parameter finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,Vis,2011,2011
1165,1052,Tuner: Principled Parameter finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,Vis,2011,2011
339,1052,Tuner: Principled Parameter finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,Vis,2011,2011
781,288,Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,Vis,2011,2011
781,1257,Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,Vis,2011,2011
781,339,Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,Vis,2011,2011
288,1257,Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,Vis,2011,2011
288,339,Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,Vis,2011,2011
1257,339,Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,Vis,2011,2011
